observation_id,source_doi,source_table,source_row_label,compound,antibiotic_partner,fixed_inhibitor_concentration,fixed_inhibitor_concentration_unit,enzyme_family,enzyme_variant,reference_variant,variant_origin,author_reported_mutation,numbering_scheme,organism,strain,biological_context,assay_category,assay_system,protein_preparation,endpoint,relation,value,unit,fitted_value,replicate_count,directness,quality_flags,curator_note
EVO-OBS-P3-002,10.1128/aac.00297-25,Table 3,IMP-14,xeruborbactam,,,,IMP,IMP-14,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,250,uM,680,,direct_table_value,censored_with_reported_fitted_estimate,
EVO-OBS-P3-003,10.1128/aac.00297-25,Table 3,IMP-59,taniborbactam,,,,IMP,IMP-59,IMP-4,paper_reported_variant,Asn233Tyr,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,7.0,uM,,,direct_table_value,,
EVO-OBS-P1-008,10.1128/aac.00991-23,Table 2,NDM-2,taniborbactam,,,,NDM,NDM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.1,uM,,,direct_table_value,,
EVO-OBS-P1-009,10.1128/aac.00991-23,Table 2,NDM-4,taniborbactam,,,,NDM,NDM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.9,uM,,,direct_table_value,,
EVO-OBS-P1-010,10.1128/aac.00991-23,Table 2,NDM-5,taniborbactam,,,,NDM,NDM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,,,direct_table_value,,
EVO-OBS-P1-011,10.1128/aac.00991-23,Table 2,NDM-7,taniborbactam,,,,NDM,NDM-7,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.002,uM,,,direct_table_value,,
EVO-OBS-P1-012,10.1128/aac.00991-23,Table 2,NDM-14,taniborbactam,,,,NDM,NDM-14,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,,,direct_table_value,,
EVO-OBS-P1-013,10.1128/aac.00991-23,Table 2,NDM-19,taniborbactam,,,,NDM,NDM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.4,uM,,,direct_table_value,,
EVO-OBS-P1-014,10.1128/aac.00991-23,Table 2,NDM-30,taniborbactam,,,,NDM,NDM-30,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,17,uM,,,direct_table_value,,
EVO-OBS-P1-015,10.1128/aac.00991-23,Table 2,NDM-35,taniborbactam,,,,NDM,NDM-35,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,1.7,uM,,,direct_table_value,,
EVO-OBS-P1-016,10.1128/aac.00991-23,Table 2,NDM-47,taniborbactam,,,,NDM,NDM-47,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,,,direct_table_value,,
EVO-OBS-P1-017,10.1128/aac.00991-23,Table 2,VIM-1,taniborbactam,,,,VIM,VIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.3,uM,,,direct_table_value,,
EVO-OBS-P1-018,10.1128/aac.00991-23,Table 2,VIM-4,taniborbactam,,,,VIM,VIM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.004,uM,,,direct_table_value,,
EVO-OBS-P1-019,10.1128/aac.00991-23,Table 2,VIM-5,taniborbactam,,,,VIM,VIM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,,,direct_table_value,,
EVO-OBS-P1-020,10.1128/aac.00991-23,Table 2,VIM-19,taniborbactam,,,,VIM,VIM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,,,direct_table_value,,
EVO-OBS-P1-021,10.1128/aac.00991-23,Table 2,VIM-1-Ala148Val,taniborbactam,,,,VIM,VIM-1 Ala148Val,VIM-1,engineered,Ala148Val,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,,,direct_table_value,,
EVO-OBS-P1-022,10.1128/aac.00991-23,Table 2,VIM-2,taniborbactam,,,,VIM,VIM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,,,direct_table_value,,
EVO-OBS-P1-023,10.1128/aac.00991-23,Table 2,VIM-6,taniborbactam,,,,VIM,VIM-6,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.02,uM,,,direct_table_value,,
EVO-OBS-P1-024,10.1128/aac.00991-23,Table 2,VIM-53,taniborbactam,,,,VIM,VIM-53,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,,,direct_table_value,,
EVO-OBS-P1-025,10.1128/aac.00991-23,Table 2,VIM-2-Val148Ala,taniborbactam,,,,VIM,VIM-2 Val148Ala,VIM-2,engineered,Val148Ala,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.03,uM,,,direct_table_value,,
EVO-OBS-P1-026,10.1128/aac.00991-23,Table 2,IMP-2,taniborbactam,,,,IMP,IMP-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-027,10.1128/aac.00991-23,Table 2,IMP-4,taniborbactam,,,,IMP,IMP-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-028,10.1128/aac.00991-23,Table 2,IMP-13,taniborbactam,,,,IMP,IMP-13,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-029,10.1128/aac.00991-23,Table 2,SIM-1,taniborbactam,,,,SIM,SIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-030,10.1128/aac.00991-23,Table 2,SPM-1,taniborbactam,,,,SPM,SPM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.4,uM,,,direct_table_value,,
EVO-OBS-P1-031,10.1128/aac.00991-23,Table 2,DIM-1,taniborbactam,,,,DIM,DIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.3,uM,,,direct_table_value,,
EVO-OBS-P1-032,10.1128/aac.00991-23,Table 2,GIM-1,taniborbactam,,,,GIM,GIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.9,uM,,,direct_table_value,,
EVO-OBS-P1-033,10.1128/aac.00991-23,Table 2,PFM-1,taniborbactam,,,,PFM,PFM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-034,10.1128/aac.00991-23,Table 2,AIM-1,taniborbactam,,,,AIM,AIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-007,10.1128/aac.01570-23,Table 3,NDM-1,xeruborbactam,,,,NDM,NDM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.3,uM,,,direct_table_value,,
EVO-OBS-P2-008,10.1128/aac.01570-23,Table 3,NDM-1,taniborbactam,,,,NDM,NDM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.0,uM,,,direct_table_value,,
EVO-OBS-P2-009,10.1128/aac.01570-23,Table 3,NDM-2,xeruborbactam,,,,NDM,NDM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.5,uM,,,direct_table_value,,
EVO-OBS-P2-010,10.1128/aac.01570-23,Table 3,NDM-2,taniborbactam,,,,NDM,NDM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.0,uM,,,direct_table_value,,
EVO-OBS-P2-011,10.1128/aac.01570-23,Table 3,NDM-4,xeruborbactam,,,,NDM,NDM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.0,uM,,,direct_table_value,,
EVO-OBS-P2-012,10.1128/aac.01570-23,Table 3,NDM-4,taniborbactam,,,,NDM,NDM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.7,uM,,,direct_table_value,,
EVO-OBS-P2-013,10.1128/aac.01570-23,Table 3,NDM-5,xeruborbactam,,,,NDM,NDM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.2,uM,,,direct_table_value,,
EVO-OBS-P2-014,10.1128/aac.01570-23,Table 3,NDM-5,taniborbactam,,,,NDM,NDM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.2,uM,,,direct_table_value,,
EVO-OBS-P2-015,10.1128/aac.01570-23,Table 3,NDM-7,xeruborbactam,,,,NDM,NDM-7,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.3,uM,,,direct_table_value,,
EVO-OBS-P2-016,10.1128/aac.01570-23,Table 3,NDM-7,taniborbactam,,,,NDM,NDM-7,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.2,uM,,,direct_table_value,,
EVO-OBS-P2-017,10.1128/aac.01570-23,Table 3,NDM-14,xeruborbactam,,,,NDM,NDM-14,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.4,uM,,,direct_table_value,,
EVO-OBS-P2-018,10.1128/aac.01570-23,Table 3,NDM-14,taniborbactam,,,,NDM,NDM-14,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.9,uM,,,direct_table_value,,
EVO-OBS-P2-019,10.1128/aac.01570-23,Table 3,NDM-19,xeruborbactam,,,,NDM,NDM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.4,uM,,,direct_table_value,,
EVO-OBS-P2-020,10.1128/aac.01570-23,Table 3,NDM-19,taniborbactam,,,,NDM,NDM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.0,uM,,,direct_table_value,,
EVO-OBS-P2-021,10.1128/aac.01570-23,Table 3,NDM-30,xeruborbactam,,,,NDM,NDM-30,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.6,uM,,,direct_table_value,,
EVO-OBS-P2-022,10.1128/aac.01570-23,Table 3,NDM-30,taniborbactam,,,,NDM,NDM-30,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,34,uM,,,direct_table_value,,
EVO-OBS-P2-023,10.1128/aac.01570-23,Table 3,NDM-35,xeruborbactam,,,,NDM,NDM-35,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.6,uM,,,direct_table_value,,
EVO-OBS-P2-024,10.1128/aac.01570-23,Table 3,NDM-35,taniborbactam,,,,NDM,NDM-35,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,8.6,uM,,,direct_table_value,,
EVO-OBS-P2-025,10.1128/aac.01570-23,Table 3,NDM-47,xeruborbactam,,,,NDM,NDM-47,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,9.2,uM,,,direct_table_value,,
EVO-OBS-P2-026,10.1128/aac.01570-23,Table 3,NDM-47,taniborbactam,,,,NDM,NDM-47,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.8,uM,,,direct_table_value,,
EVO-OBS-P2-027,10.1128/aac.01570-23,Table 3,VIM-1,xeruborbactam,,,,VIM,VIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,,,direct_table_value,,
EVO-OBS-P2-028,10.1128/aac.01570-23,Table 3,VIM-1,taniborbactam,,,,VIM,VIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.8,uM,,,direct_table_value,,
EVO-OBS-P2-029,10.1128/aac.01570-23,Table 3,VIM-4,xeruborbactam,,,,VIM,VIM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.05,uM,,,direct_table_value,,
EVO-OBS-P2-030,10.1128/aac.01570-23,Table 3,VIM-4,taniborbactam,,,,VIM,VIM-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,,,direct_table_value,,
EVO-OBS-P2-031,10.1128/aac.01570-23,Table 3,VIM-5,xeruborbactam,,,,VIM,VIM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.9,uM,,,direct_table_value,,
EVO-OBS-P2-032,10.1128/aac.01570-23,Table 3,VIM-5,taniborbactam,,,,VIM,VIM-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.4,uM,,,direct_table_value,,
EVO-OBS-P2-033,10.1128/aac.01570-23,Table 3,VIM-19,xeruborbactam,,,,VIM,VIM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,,,direct_table_value,,
EVO-OBS-P2-034,10.1128/aac.01570-23,Table 3,VIM-19,taniborbactam,,,,VIM,VIM-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.4,uM,,,direct_table_value,,
EVO-OBS-P2-035,10.1128/aac.01570-23,Table 3,VIM-83,xeruborbactam,,,,VIM,VIM-83,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,,,direct_table_value,,
EVO-OBS-P2-036,10.1128/aac.01570-23,Table 3,VIM-83,taniborbactam,,,,VIM,VIM-83,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,55,uM,,,direct_table_value,,
EVO-OBS-P2-037,10.1128/aac.01570-23,Table 3,VIM-2,xeruborbactam,,,,VIM,VIM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.1,uM,,,direct_table_value,,
EVO-OBS-P2-038,10.1128/aac.01570-23,Table 3,VIM-2,taniborbactam,,,,VIM,VIM-2,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,,,direct_table_value,,
EVO-OBS-P2-039,10.1128/aac.01570-23,Table 3,VIM-6,xeruborbactam,,,,VIM,VIM-6,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.01,uM,,,direct_table_value,,
EVO-OBS-P2-040,10.1128/aac.01570-23,Table 3,VIM-6,taniborbactam,,,,VIM,VIM-6,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,,,direct_table_value,,
EVO-OBS-P2-041,10.1128/aac.01570-23,Table 3,VIM-53,xeruborbactam,,,,VIM,VIM-53,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.14,uM,,,direct_table_value,,
EVO-OBS-P2-042,10.1128/aac.01570-23,Table 3,VIM-53,taniborbactam,,,,VIM,VIM-53,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.4,uM,,,direct_table_value,,
EVO-OBS-P2-043,10.1128/aac.01570-23,Table 3,IMP-1,taniborbactam,,,,IMP,IMP-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-044,10.1128/aac.01570-23,Table 3,IMP-4,xeruborbactam,,,,IMP,IMP-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,14.7,uM,,,direct_table_value,,
EVO-OBS-P2-045,10.1128/aac.01570-23,Table 3,IMP-4,taniborbactam,,,,IMP,IMP-4,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-046,10.1128/aac.01570-23,Table 3,IMP-5,xeruborbactam,,,,IMP,IMP-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.6,uM,,,direct_table_value,,
EVO-OBS-P2-047,10.1128/aac.01570-23,Table 3,IMP-5,taniborbactam,,,,IMP,IMP-5,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-048,10.1128/aac.01570-23,Table 3,IMP-8,xeruborbactam,,,,IMP,IMP-8,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,13.5,uM,,,direct_table_value,,
EVO-OBS-P2-049,10.1128/aac.01570-23,Table 3,IMP-8,taniborbactam,,,,IMP,IMP-8,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-050,10.1128/aac.01570-23,Table 3,IMP-10,taniborbactam,,,,IMP,IMP-10,IMP-1,paper_reported_variant,Val67Phe,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-051,10.1128/aac.01570-23,Table 3,IMP-11,xeruborbactam,,,,IMP,IMP-11,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,15.8,uM,,,direct_table_value,,
EVO-OBS-P2-052,10.1128/aac.01570-23,Table 3,IMP-11,taniborbactam,,,,IMP,IMP-11,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-053,10.1128/aac.01570-23,Table 3,IMP-13,xeruborbactam,,,,IMP,IMP-13,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,15.0,uM,,,direct_table_value,,
EVO-OBS-P2-054,10.1128/aac.01570-23,Table 3,IMP-13,taniborbactam,,,,IMP,IMP-13,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-055,10.1128/aac.01570-23,Table 3,IMP-15,xeruborbactam,,,,IMP,IMP-15,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.1,uM,,,direct_table_value,,
EVO-OBS-P2-056,10.1128/aac.01570-23,Table 3,IMP-15,taniborbactam,,,,IMP,IMP-15,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-057,10.1128/aac.01570-23,Table 3,IMP-18,xeruborbactam,,,,IMP,IMP-18,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,20.7,uM,,,direct_table_value,assay_substrate_imipenem,Table 3 footnote states that imipenem was used because cephalothin was not hydrolyzed by this enzyme.
EVO-OBS-P2-058,10.1128/aac.01570-23,Table 3,IMP-18,taniborbactam,,,,IMP,IMP-18,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,assay_substrate_imipenem,Table 3 footnote states that imipenem was used because cephalothin was not hydrolyzed by this enzyme.
EVO-OBS-P2-059,10.1128/aac.01570-23,Table 3,IMP-19,xeruborbactam,,,,IMP,IMP-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.5,uM,,,direct_table_value,,
EVO-OBS-P2-060,10.1128/aac.01570-23,Table 3,IMP-19,taniborbactam,,,,IMP,IMP-19,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-061,10.1128/aac.01570-23,Table 3,SIM-1,xeruborbactam,,,,SIM,SIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,93,uM,,,direct_table_value,,
EVO-OBS-P2-062,10.1128/aac.01570-23,Table 3,SIM-1,taniborbactam,,,,SIM,SIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-063,10.1128/aac.01570-23,Table 3,SPM-1,xeruborbactam,,,,SPM,SPM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P2-064,10.1128/aac.01570-23,Table 3,SPM-1,taniborbactam,,,,SPM,SPM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.7,uM,,,direct_table_value,,
EVO-OBS-P2-065,10.1128/aac.01570-23,Table 3,DIM-1,xeruborbactam,,,,DIM,DIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,11.4,uM,,,direct_table_value,,
EVO-OBS-P2-066,10.1128/aac.01570-23,Table 3,DIM-1,taniborbactam,,,,DIM,DIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.9,uM,,,direct_table_value,,
EVO-OBS-P2-067,10.1128/aac.01570-23,Table 3,GIM-1,xeruborbactam,,,,GIM,GIM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.9,uM,,,direct_table_value,,
