candidate_id,seed_id,source_id,provider,doi,pmid,pmcid,title,publication_year,response_hash,retrieval_event_id
EVO-META-91B738A1E8076C07B8FD,EVO-SEED-006,EVO-SRC-1AA6599CEC290236,europe_pmc,10.1128/aac.00426-26,42307233,,"Phase I dose-ascending, safety, and pharmacokinetics study of APC148, a novel metallo-β-lactamase inhibitor, in healthy volunteers.",2026,b849df9c09c70a207a8403f154770d9847414376342faa38f762790341659aa6,EVO-RET-DFBC7998E83FEB87BDD0
EVO-META-4DAEDA47841FFFF9C58B,EVO-SEED-006,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,10.1128/aac.00426-26,42307233,,"Phase I dose-ascending, safety, and pharmacokinetics study of APC148, a novel metallo-β-lactamase inhibitor, in healthy volunteers.",2026,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,EVO-RET-AA2B12FF45F1EE40A4CF
EVO-META-CB1C8C93992C09C239C9,EVO-SEED-006,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,10.1128/aac.00426-26,42307233,,"Phase I dose-ascending, safety, and pharmacokinetics study of APC148, a novel metallo-β-lactamase inhibitor, in healthy volunteers.",2026,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,EVO-RET-599D7C5B449B3503E87C
EVO-META-F8DBCC4FEC8EC07EC7E2,EVO-SEED-007,EVO-SRC-2FC255DC846D4B6F,crossref,10.1016/j.jinorgbio.2026.113335,,,Evolutionary study of metallo-β-lactamase IMP-1 reveals a specific allosteric network mediated by distal mutations,2026,e9e4b062df5105688cd607bfcd2e0028dbb520b0176c02fe08f5ed2c449dcef0,EVO-RET-2A42D3F1C654EDDF8FB6
EVO-META-CDD9D887C1F409AA6DF0,EVO-SEED-007,EVO-SRC-2FC255DC846D4B6F,europe_pmc,10.1016/j.jinorgbio.2026.113335,41996979,,Evolutionary study of metallo-β-lactamase IMP-1 reveals a specific allosteric network mediated by distal mutations.,2026,3f5bb680a07e39e8f950ec79f1ae793733687f78d43d42721250e022a2857172,EVO-RET-76AA4463800274C8908C
EVO-META-E13F029B573E80293A25,EVO-SEED-007,EVO-SRC-2FC255DC846D4B6F,europe_pmc,10.1016/j.jinorgbio.2026.113335,41996979,,Evolutionary study of metallo-β-lactamase IMP-1 reveals a specific allosteric network mediated by distal mutations.,2026,6927ecfd81635044f60e78fc3662a0ae6bf99d9c94f6a0fff6c57f2c045f403c,EVO-RET-6DBF4E94CAE5A7AA4FB4
EVO-META-0B298CDD51A4C2FCEC9A,EVO-SEED-007,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,10.1016/j.jinorgbio.2026.113335,41996979,,Evolutionary study of metallo-β-lactamase IMP-1 reveals a specific allosteric network mediated by distal mutations.,2026,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,EVO-RET-135A013B7FFF9BE4E4B1
EVO-META-329EAC92804EA70AB3C3,EVO-SEED-007,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,10.1016/j.jinorgbio.2026.113335,41996979,,Evolutionary study of metallo-β-lactamase IMP-1 reveals a specific allosteric network mediated by distal mutations.,2026,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,EVO-RET-8EE0B8204E048DE4F996
EVO-META-A761E1EDAD1591432A77,EVO-SEED-008,EVO-SRC-68FC875981F77C80,crossref,10.1128/spectrum.02788-25,,,"Biochemical and structural analyses of metallo-β-lactamase VIM-28: impact of substitutions at residues 224 and 228 on substrate profile, stability, and zinc affinity",2026,8c292f74083937feaa3957badbffed36e5b3eccda581b4f7f80906f33f2ec6db,EVO-RET-9406FDAD885F426F7A27
EVO-META-36360F196DBFA742579B,EVO-SEED-008,EVO-SRC-68FC875981F77C80,europe_pmc,10.1128/spectrum.02788-25,41660846,PMC12955476,"Biochemical and structural analyses of metallo-β-lactamase VIM-28: impact of substitutions at residues 224 and 228 on substrate profile, stability, and zinc affinity.",2026,6ac82b8033d1d90877451e7796606d3901691be667c6f4134fd808b9aa6923d8,EVO-RET-493A9090F57FD2F9D6DC
EVO-META-72940412DB0189663389,EVO-SEED-008,EVO-SRC-68FC875981F77C80,europe_pmc,10.1128/spectrum.02788-25,41660846,PMC12955476,"Biochemical and structural analyses of metallo-β-lactamase VIM-28: impact of substitutions at residues 224 and 228 on substrate profile, stability, and zinc affinity.",2026,a36f3348a93b9a72b77bed272ca6a1d59db0b0d0704b3d66e6f8d98aa5345d9f,EVO-RET-B4FE8154BC781812B705
EVO-META-6634D20811B7D6D963B4,EVO-SEED-008,EVO-SRC-68FC875981F77C80,ncbi_pubmed,10.1128/spectrum.02788-25,41660846,PMC12955476,"Biochemical and structural analyses of metallo-β-lactamase VIM-28: impact of substitutions at residues 224 and 228 on substrate profile, stability, and zinc affinity.",2026,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,EVO-RET-9A28C16DE770A16C9C24
EVO-META-E28EA8785259117C0B0C,EVO-SEED-008,EVO-SRC-68FC875981F77C80,ncbi_pubmed,10.1128/spectrum.02788-25,41660846,PMC12955476,"Biochemical and structural analyses of metallo-β-lactamase VIM-28: impact of substitutions at residues 224 and 228 on substrate profile, stability, and zinc affinity.",2026,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,EVO-RET-050F0BEC4206859F2BDD
