retrieval_id,source_id,provider,requested_identifier,request_timestamp,completion_timestamp,outcome,http_status,attempt_count,response_hash,response_path,offline,adapter_version,configuration_version
EVO-RET-10146863F51239EE3C08,EVO-SRC-1ED143DCEF91EF9C,crossref,10.1128/aac.00579-23,2026-07-26 03:17:56.507449,2026-07-26 03:17:56.507449,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-857A9483A84FFD46AD62,EVO-SRC-1ED143DCEF91EF9C,europe_pmc,DOI:10.1128/aac.00579-23,2026-07-26 03:17:56.574675,2026-07-26 03:17:56.574675,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-A88EAB25DB8655B5309C,EVO-SRC-1AA6599CEC290236,crossref,10.1128/aac.00426-26,2026-07-26 03:17:56.674153,2026-07-26 03:17:56.674153,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-1E2513BCDE91350DF39A,EVO-SRC-1AA6599CEC290236,europe_pmc,DOI:10.1128/aac.00426-26,2026-07-26 03:17:56.740714,2026-07-26 03:17:56.740714,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-E36EF6B5B18F9324D21C,EVO-SRC-1AA6599CEC290236,europe_pmc,EXT_ID:42307233,2026-07-26 03:17:56.807249,2026-07-26 03:17:56.807249,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-8AD1B40BD82D3F87A2CF,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 03:17:56.890970,2026-07-26 03:17:56.890970,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-7A13C9094C4C07FCBEA5,EVO-SRC-2FC255DC846D4B6F,crossref,10.1016/j.jinorgbio.2026.113335,2026-07-26 03:17:56.957976,2026-07-26 03:17:56.957976,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-4B8A01012F771335DC7C,EVO-SRC-2FC255DC846D4B6F,europe_pmc,DOI:10.1016/j.jinorgbio.2026.113335,2026-07-26 03:17:57.032577,2026-07-26 03:17:57.032577,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-F0C133CA11EC82FCAB9A,EVO-SRC-2FC255DC846D4B6F,europe_pmc,EXT_ID:41996979,2026-07-26 03:17:57.107516,2026-07-26 03:17:57.107516,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-621F55D4F567DE11E09E,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,41996979,2026-07-26 03:17:57.173575,2026-07-26 03:17:57.173575,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-C71C48D9A4DB14BBCA8F,EVO-SRC-68FC875981F77C80,crossref,10.1128/spectrum.02788-25,2026-07-26 03:17:57.249001,2026-07-26 03:17:57.249001,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-963606C1A92961CBF03A,EVO-SRC-68FC875981F77C80,europe_pmc,DOI:10.1128/spectrum.02788-25,2026-07-26 03:17:57.314109,2026-07-26 03:17:57.315114,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-71B431C6A2336A6AB384,EVO-SRC-68FC875981F77C80,europe_pmc,EXT_ID:41660846,2026-07-26 03:17:57.373984,2026-07-26 03:17:57.373984,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-5C2403E03B8A466AF7D9,EVO-SRC-68FC875981F77C80,ncbi_pubmed,41660846,2026-07-26 03:17:57.441498,2026-07-26 03:17:57.441498,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-8DC2BF063346A2D54339,EVO-SRC-3C6ED4B1C20AC7DA,crossref,10.1128/aac.00991-23,2026-07-26 03:38:52.759233,2026-07-26 03:38:55.868532,success_new_capture,200,1,677eb618f043e1acf6aa7393b4da0a36a59cf440b9e4229093cb42e922058d44,data\raw\api\crossref\sha256-677eb618f043e1acf6aa7393b4da0a36a59cf440b9e4229093cb42e922058d44.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-F244519DA030CF496E54,EVO-SRC-3C6ED4B1C20AC7DA,europe_pmc,DOI:10.1128/aac.00991-23,2026-07-26 03:38:55.911612,2026-07-26 03:39:00.068992,success_new_capture,200,1,ecb1d0796195b1f509b6233eb470e80a57f54e72e4430ed9a4814e1ccb599fcf,data\raw\api\europe_pmc\sha256-ecb1d0796195b1f509b6233eb470e80a57f54e72e4430ed9a4814e1ccb599fcf.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-9375868D99FAA4DCD241,EVO-SRC-1F1F4BFCE7FB91BC,crossref,10.1128/aac.01570-23,2026-07-26 03:39:00.105122,2026-07-26 03:39:00.800940,success_new_capture,200,1,311624ce254e46216c714797da10f8cbae653ad41bc791b12afe7723eb0b3e7b,data\raw\api\crossref\sha256-311624ce254e46216c714797da10f8cbae653ad41bc791b12afe7723eb0b3e7b.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-274D50AE528D5E8141AB,EVO-SRC-1F1F4BFCE7FB91BC,europe_pmc,DOI:10.1128/aac.01570-23,2026-07-26 03:39:00.842826,2026-07-26 03:39:01.464916,success_new_capture,200,1,95c5bc806f7cf1c7add0055dab45e0b4e4f1789aa9b36513e89a95f5d13a4356,data\raw\api\europe_pmc\sha256-95c5bc806f7cf1c7add0055dab45e0b4e4f1789aa9b36513e89a95f5d13a4356.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-2E2096D4944FD89469C1,EVO-SRC-A4914971E736EA36,crossref,10.1128/aac.00297-25,2026-07-26 03:39:01.502833,2026-07-26 03:39:02.197723,success_new_capture,200,1,95e6038f3f07b1c8d81b2d7cd72565b22692b273e78a47bb2afa81b1703c3aee,data\raw\api\crossref\sha256-95e6038f3f07b1c8d81b2d7cd72565b22692b273e78a47bb2afa81b1703c3aee.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-0C09CE414CE1C00B0881,EVO-SRC-A4914971E736EA36,europe_pmc,DOI:10.1128/aac.00297-25,2026-07-26 03:39:02.228994,2026-07-26 03:39:02.948768,success_new_capture,200,1,fa4740af26379fb63bb665172983a1991382449aacf48e2ff3bf0e9d4316a017,data\raw\api\europe_pmc\sha256-fa4740af26379fb63bb665172983a1991382449aacf48e2ff3bf0e9d4316a017.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-D3D0B78D4DE17200D491,EVO-SRC-A4914971E736EA36,europe_pmc,EXT_ID:40488615,2026-07-26 03:39:02.978655,2026-07-26 03:39:03.629123,success_new_capture,200,1,23c1ad73a875b4226c1b325e8970c951fc60949d43a787cdbd50cdc10defe26e,data\raw\api\europe_pmc\sha256-23c1ad73a875b4226c1b325e8970c951fc60949d43a787cdbd50cdc10defe26e.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-A60048FEF58AE9DD659D,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 03:39:03.660775,2026-07-26 03:39:06.913556,success_new_capture,200,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-C382BA1A8C6174C7AD72,EVO-SRC-4A0FF0F1E6942324,crossref,10.1128/aac.01699-24,2026-07-26 03:39:06.958142,2026-07-26 03:39:08.551093,success_new_capture,200,1,65707c50cc4279aad8f7f73b6a5f7f07fe9561b1428b69d9bbd2a6edd983db85,data\raw\api\crossref\sha256-65707c50cc4279aad8f7f73b6a5f7f07fe9561b1428b69d9bbd2a6edd983db85.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-E340158C25BF6CBDEB2F,EVO-SRC-4A0FF0F1E6942324,europe_pmc,DOI:10.1128/aac.01699-24,2026-07-26 03:39:08.580900,2026-07-26 03:39:09.786221,success_new_capture,200,1,833afb4accaf03d2c9d520635a5d57247446654f18e4fc8cc07987766464bd12,data\raw\api\europe_pmc\sha256-833afb4accaf03d2c9d520635a5d57247446654f18e4fc8cc07987766464bd12.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-5AE9AEC5F501BB94316A,EVO-SRC-1ED143DCEF91EF9C,crossref,10.1128/aac.00579-23,2026-07-26 03:39:09.831840,2026-07-26 03:39:10.579136,success_new_capture,200,1,abd4bda1ec86b455bd66c7e35639a066c30e58568bcfc60dae44ca920ce369a8,data\raw\api\crossref\sha256-abd4bda1ec86b455bd66c7e35639a066c30e58568bcfc60dae44ca920ce369a8.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-4A97A8C70AE28625B077,EVO-SRC-1ED143DCEF91EF9C,europe_pmc,DOI:10.1128/aac.00579-23,2026-07-26 03:39:10.611916,2026-07-26 03:39:11.307109,success_new_capture,200,1,b31f22ae9ef1f1a5cfd805806554b163d9793f69728c6c185392d21304dc024f,data\raw\api\europe_pmc\sha256-b31f22ae9ef1f1a5cfd805806554b163d9793f69728c6c185392d21304dc024f.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-18F2892A732014C63DE6,EVO-SRC-1AA6599CEC290236,crossref,10.1128/aac.00426-26,2026-07-26 03:39:11.341752,2026-07-26 03:39:12.864312,success_new_capture,200,1,d12f88d7e4d911b293a6978ac7980b598ae8aa76f98da60ca55d028b08da2da1,data\raw\api\crossref\sha256-d12f88d7e4d911b293a6978ac7980b598ae8aa76f98da60ca55d028b08da2da1.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-14814D02294E82E83180,EVO-SRC-1AA6599CEC290236,europe_pmc,DOI:10.1128/aac.00426-26,2026-07-26 03:39:12.894209,2026-07-26 03:39:13.570021,success_new_capture,200,1,6da7bb4c88fca63482ff83fc1247e36a9ec326d0bdb782ae278786f86d823d53,data\raw\api\europe_pmc\sha256-6da7bb4c88fca63482ff83fc1247e36a9ec326d0bdb782ae278786f86d823d53.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-DFBC7998E83FEB87BDD0,EVO-SRC-1AA6599CEC290236,europe_pmc,EXT_ID:42307233,2026-07-26 03:39:13.611176,2026-07-26 03:39:14.727456,success_new_capture,200,1,b849df9c09c70a207a8403f154770d9847414376342faa38f762790341659aa6,data\raw\api\europe_pmc\sha256-b849df9c09c70a207a8403f154770d9847414376342faa38f762790341659aa6.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-7A5A8DD23DCEF2153B75,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 03:39:14.760789,2026-07-26 03:39:15.413455,success_new_capture,200,1,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,data\raw\api\ncbi_pubmed\sha256-5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-2A42D3F1C654EDDF8FB6,EVO-SRC-2FC255DC846D4B6F,crossref,10.1016/j.jinorgbio.2026.113335,2026-07-26 03:39:15.440702,2026-07-26 03:39:16.214160,success_new_capture,200,1,e9e4b062df5105688cd607bfcd2e0028dbb520b0176c02fe08f5ed2c449dcef0,data\raw\api\crossref\sha256-e9e4b062df5105688cd607bfcd2e0028dbb520b0176c02fe08f5ed2c449dcef0.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-6DBF4E94CAE5A7AA4FB4,EVO-SRC-2FC255DC846D4B6F,europe_pmc,DOI:10.1016/j.jinorgbio.2026.113335,2026-07-26 03:39:16.255991,2026-07-26 03:39:16.897301,success_new_capture,200,1,6927ecfd81635044f60e78fc3662a0ae6bf99d9c94f6a0fff6c57f2c045f403c,data\raw\api\europe_pmc\sha256-6927ecfd81635044f60e78fc3662a0ae6bf99d9c94f6a0fff6c57f2c045f403c.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-76AA4463800274C8908C,EVO-SRC-2FC255DC846D4B6F,europe_pmc,EXT_ID:41996979,2026-07-26 03:39:16.926351,2026-07-26 03:39:17.545373,success_new_capture,200,1,3f5bb680a07e39e8f950ec79f1ae793733687f78d43d42721250e022a2857172,data\raw\api\europe_pmc\sha256-3f5bb680a07e39e8f950ec79f1ae793733687f78d43d42721250e022a2857172.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-CF3CEF32FD0DD9AB3F9A,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,41996979,2026-07-26 03:39:17.574658,2026-07-26 03:39:18.192042,success_new_capture,200,1,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,data\raw\api\ncbi_pubmed\sha256-051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-9406FDAD885F426F7A27,EVO-SRC-68FC875981F77C80,crossref,10.1128/spectrum.02788-25,2026-07-26 03:39:18.218337,2026-07-26 03:39:18.938896,success_new_capture,200,1,8c292f74083937feaa3957badbffed36e5b3eccda581b4f7f80906f33f2ec6db,data\raw\api\crossref\sha256-8c292f74083937feaa3957badbffed36e5b3eccda581b4f7f80906f33f2ec6db.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-B4FE8154BC781812B705,EVO-SRC-68FC875981F77C80,europe_pmc,DOI:10.1128/spectrum.02788-25,2026-07-26 03:39:18.973391,2026-07-26 03:39:19.649844,success_new_capture,200,1,a36f3348a93b9a72b77bed272ca6a1d59db0b0d0704b3d66e6f8d98aa5345d9f,data\raw\api\europe_pmc\sha256-a36f3348a93b9a72b77bed272ca6a1d59db0b0d0704b3d66e6f8d98aa5345d9f.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-493A9090F57FD2F9D6DC,EVO-SRC-68FC875981F77C80,europe_pmc,EXT_ID:41660846,2026-07-26 03:39:19.684647,2026-07-26 03:39:20.319863,success_new_capture,200,1,6ac82b8033d1d90877451e7796606d3901691be667c6f4134fd808b9aa6923d8,data\raw\api\europe_pmc\sha256-6ac82b8033d1d90877451e7796606d3901691be667c6f4134fd808b9aa6923d8.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-78BDA74E15B88E2FC613,EVO-SRC-68FC875981F77C80,ncbi_pubmed,41660846,2026-07-26 03:39:20.352599,2026-07-26 03:39:20.964114,success_new_capture,200,1,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,data\raw\api\ncbi_pubmed\sha256-c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-9E8E94AC6A40CC2C16A4,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:04:39.833458,2026-07-26 04:04:39.833458,offline_cache_hit,,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-599D7C5B449B3503E87C,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 04:04:42.153842,2026-07-26 04:04:42.154929,offline_cache_hit,,1,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,data\raw\api\ncbi_pubmed\sha256-5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-8EE0B8204E048DE4F996,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,41996979,2026-07-26 04:04:44.377146,2026-07-26 04:04:44.378107,offline_cache_hit,,1,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,data\raw\api\ncbi_pubmed\sha256-051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-050F0BEC4206859F2BDD,EVO-SRC-68FC875981F77C80,ncbi_pubmed,41660846,2026-07-26 04:04:46.733149,2026-07-26 04:04:46.735159,offline_cache_hit,,1,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,data\raw\api\ncbi_pubmed\sha256-c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-50D16541A5907F8929AF,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:05:10.028898,2026-07-26 04:05:10.029894,offline_cache_hit,,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-87D50C44FBCEA9B52533,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 04:05:12.517142,2026-07-26 04:05:12.517142,offline_cache_hit,,1,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,data\raw\api\ncbi_pubmed\sha256-5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-A4B671A60229B3461A80,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,41996979,2026-07-26 04:05:14.678889,2026-07-26 04:05:14.678889,offline_cache_hit,,1,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,data\raw\api\ncbi_pubmed\sha256-051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-7F58ECE41EB6930441B2,EVO-SRC-68FC875981F77C80,ncbi_pubmed,41660846,2026-07-26 04:05:16.694708,2026-07-26 04:05:16.694708,offline_cache_hit,,1,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,data\raw\api\ncbi_pubmed\sha256-c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-53DC58A34FD7010A12D1,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:12:30.856844,2026-07-26 04:12:31.678278,success_identical_capture,200,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-E9381242A22874485968,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:27:21.824007,2026-07-26 04:27:21.844822,offline_cache_hit,,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-11D3C0A5B328CF3225E6,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:27:35.509158,2026-07-26 04:27:35.510146,offline_cache_hit,,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-AA2B12FF45F1EE40A4CF,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 04:39:13.957281,2026-07-26 04:39:13.975815,offline_cache_hit,,1,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,data\raw\api\ncbi_pubmed\sha256-5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-135A013B7FFF9BE4E4B1,EVO-SRC-2FC255DC846D4B6F,ncbi_pubmed,41996979,2026-07-26 04:39:33.622651,2026-07-26 04:39:33.655951,offline_cache_hit,,1,051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309,data\raw\api\ncbi_pubmed\sha256-051319cf43a17f0bfdebe2f9572f99fb0a99671982e3475b32525fb696efb309.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-9A28C16DE770A16C9C24,EVO-SRC-68FC875981F77C80,ncbi_pubmed,41660846,2026-07-26 04:39:55.633315,2026-07-26 04:39:55.650088,offline_cache_hit,,1,c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e,data\raw\api\ncbi_pubmed\sha256-c1b090bd862bd538c9dfacbdc25dfc44f46201dd038b084bba0f5bf878766c1e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-1107EA7BD81367EC0AD2,EVO-SRC-1AA6599CEC290236,ncbi_pubmed,42307233,2026-07-26 04:40:13.779641,2026-07-26 04:40:13.779641,offline_cache_hit,,1,5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e,data\raw\api\ncbi_pubmed\sha256-5232d6561580928d510586f0e361f0cf75e8a219febc4af2f03894e2681bfe7e.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-4330BC1C339B663D4584,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 04:41:30.813415,2026-07-26 04:41:33.031239,success_identical_capture,200,1,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,data\raw\api\ncbi_pubmed\sha256-814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a.json,False,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-CE85B162EF4E733F52E6,EVO-SRC-3C6ED4B1C20AC7DA,crossref,10.1128/aac.00991-23,2026-07-26 04:42:21.351318,2026-07-26 04:42:21.369028,offline_cache_hit,,1,677eb618f043e1acf6aa7393b4da0a36a59cf440b9e4229093cb42e922058d44,data\raw\api\crossref\sha256-677eb618f043e1acf6aa7393b4da0a36a59cf440b9e4229093cb42e922058d44.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-20BC838D149AC92FC9E5,EVO-SRC-3C6ED4B1C20AC7DA,europe_pmc,DOI:10.1128/aac.00991-23,2026-07-26 04:42:21.402389,2026-07-26 04:42:21.418624,offline_cache_hit,,1,ecb1d0796195b1f509b6233eb470e80a57f54e72e4430ed9a4814e1ccb599fcf,data\raw\api\europe_pmc\sha256-ecb1d0796195b1f509b6233eb470e80a57f54e72e4430ed9a4814e1ccb599fcf.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-4F009266B77FC188D139,EVO-SRC-1F1F4BFCE7FB91BC,crossref,10.1128/aac.01570-23,2026-07-26 04:42:21.452279,2026-07-26 04:42:21.468879,offline_cache_hit,,1,311624ce254e46216c714797da10f8cbae653ad41bc791b12afe7723eb0b3e7b,data\raw\api\crossref\sha256-311624ce254e46216c714797da10f8cbae653ad41bc791b12afe7723eb0b3e7b.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-82062173CB40F817075B,EVO-SRC-1F1F4BFCE7FB91BC,europe_pmc,DOI:10.1128/aac.01570-23,2026-07-26 04:42:21.485546,2026-07-26 04:42:21.502733,offline_cache_hit,,1,95c5bc806f7cf1c7add0055dab45e0b4e4f1789aa9b36513e89a95f5d13a4356,data\raw\api\europe_pmc\sha256-95c5bc806f7cf1c7add0055dab45e0b4e4f1789aa9b36513e89a95f5d13a4356.json,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-050AC780E10D52706AEE,EVO-SRC-A4914971E736EA36,crossref,10.1128/aac.00297-25,2026-07-26 04:42:21.535246,2026-07-26 04:42:21.552341,offline_cache_hit,,1,95e6038f3f07b1c8d81b2d7cd72565b22692b273e78a47bb2afa81b1703c3aee,data\raw\api\crossref\sha256-95e6038f3f07b1c8d81b2d7cd72565b22692b273e78a47bb2afa81b1703c3aee.json,True,evombl-official-api-v2,source-rate-limits-v1
