comparison_id,seed_id,provider_a,provider_b,field_name,classification
EVO-CMPMETA-94B09FB124212B489755,EVO-SEED-003,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-70DC641CA47AEBD1105C,EVO-SEED-003,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-C898A8DA0BF13CBEF797,EVO-SEED-003,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-E023410A595FD220DF59,EVO-SEED-003,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-1EBC58FD7A88B21B29FE,EVO-SEED-003,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-BF2586B407D320979D20,EVO-SEED-003,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-5718B11E9380D0F3F9D3,EVO-SEED-003,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-94EAE6AAD72B0015133D,EVO-SEED-003,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-250FFD1D01D851F51857,EVO-SEED-003,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-DFD903CAC19CA6FC10ED,EVO-SEED-003,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-BC7D89AD1478A3D64C4A,EVO-SEED-003,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-81F8BF4AFD1EDB2932C5,EVO-SEED-003,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-22B2FB1F9B06C2E207D6,EVO-SEED-003,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-AD9752F97BE77054A97A,EVO-SEED-003,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-250FA9AB4AD6862B183F,EVO-SEED-003,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-5967D8C02B4502A5A30E,EVO-SEED-003,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-1CC67111C7D456DFEA07,EVO-SEED-003,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-73841CEAFF6EEF095503,EVO-SEED-003,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-DEF845877F03BE81EB19,EVO-SEED-003,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-5D8E88EAF23F6D9D4E00,EVO-SEED-003,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-1F873605C046D977EC31,EVO-SEED-003,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-3E0DBA0AD75F3FF1FD2B,EVO-SEED-003,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-072B11690B967DA8EDF2,EVO-SEED-003,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-83976B5584D1F15FC269,EVO-SEED-003,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-0823AB7D8E7DEDD9FCFD,EVO-SEED-003,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-5B34CD23551BA06C00A8,EVO-SEED-003,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-5FE2BBBF83977C5E33D4,EVO-SEED-003,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-FDA84E890781A8D88141,EVO-SEED-003,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-E1DE15B86279E10F9C78,EVO-SEED-003,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-DBEE5AA2A1A6A052223E,EVO-SEED-003,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-B2CA728B71580F08AC96,EVO-SEED-003,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-6DD3A776A3AC385DC0B4,EVO-SEED-003,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-4A3D3EDF8E5A7FC03082,EVO-SEED-003,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-74BB5E9DF2FF93C0B7A4,EVO-SEED-003,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-9FA45DE59B8FED2A31E9,EVO-SEED-003,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-DEE15E3F3EEC13F72E5D,EVO-SEED-003,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-7CC76C6109459A62AC56,EVO-SEED-003,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-EC7A364A22EB851DE6B7,EVO-SEED-003,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-D4F2E7C58DA7A33C85D8,EVO-SEED-003,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-F4ABA7721153BC4E1B1B,EVO-SEED-003,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-29FCAF6FDB05DC24BBEB,EVO-SEED-003,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-3E422B175E4E83730BD2,EVO-SEED-003,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-5B24817DF4BD2004EA68,EVO-SEED-003,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-498E7D390F84EB35089A,EVO-SEED-003,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-330E629F61BDD9CF2BB5,EVO-SEED-003,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-3EBD66185F6D02665EAC,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmcid,exact_agreement
EVO-CMPMETA-F80175B6A7C558654F7C,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmcid,exact_agreement
EVO-CMPMETA-49BC17F4D10325880519,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmcid,exact_agreement
EVO-CMPMETA-1EE977B9BC1C5BB0497D,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-585B1EEB83D2C21A6C66,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-554EA88A9247D0B067DC,EVO-SEED-003,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-A2312F3DA4F719F109CE,EVO-SEED-003,europe_pmc,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-4E77B5713373DE8F977D,EVO-SEED-003,europe_pmc,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-9AC64732A2E9F141A949,EVO-SEED-003,europe_pmc,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-F8E853DEB025B97CFDB2,EVO-SEED-003,europe_pmc,ncbi_pubmed,title,exact_agreement
EVO-CMPMETA-DD99D9D37156EB778AC9,EVO-SEED-003,europe_pmc,ncbi_pubmed,title,exact_agreement
EVO-CMPMETA-76BA1BD030E28B11CD63,EVO-SEED-003,europe_pmc,ncbi_pubmed,title,exact_agreement
EVO-CMPMETA-A73C46597AED62624A0A,EVO-SEED-004,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-9266B7B4B1EB99DE5127,EVO-SEED-004,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-63BBE4FD3C5E8B977868,EVO-SEED-004,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-D4D8E83AC459D9296784,EVO-SEED-004,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-D90E932BC70D9130F6ED,EVO-SEED-004,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-A5AB2F95AC8E7F788A66,EVO-SEED-004,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-2C3817FAC3B7E753A578,EVO-SEED-004,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-1B5B2B8ED77EBA1BE6DB,EVO-SEED-004,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-1A5B6A56ACEE5C5E1FFB,EVO-SEED-004,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-4AE40FA038AD8DE7BE27,EVO-SEED-004,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-3F1B908D5B1596598326,EVO-SEED-005,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-0B9DC5F53A9C50EECFFA,EVO-SEED-005,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-A5C40F89E21CD586263D,EVO-SEED-005,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-94F98FF8EBC8641B9304,EVO-SEED-005,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-8BC5B15FF1DBE8CDCA70,EVO-SEED-005,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-750F3FE4DA0B5B2F0A73,EVO-SEED-005,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-754DA39384B19141D6C6,EVO-SEED-005,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-F6E4DBC5127B32227518,EVO-SEED-005,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-9A52DFF658B2A03A31EE,EVO-SEED-005,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-8AFB2D496B0C1CDDEDB4,EVO-SEED-005,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-8A1E4330696F181CD6B8,EVO-SEED-006,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-B06BBF5210EED1E9E2D3,EVO-SEED-006,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-66D227144B7F698018EC,EVO-SEED-006,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-13B01F9FD22776FCCD06,EVO-SEED-006,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-8D230BE0BD6028B5CD80,EVO-SEED-006,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-4473BFBF380EC7F877EF,EVO-SEED-006,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-2D980ADBAE81F31B5866,EVO-SEED-006,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-E73F49421DAE63F611AE,EVO-SEED-006,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-6DCFD5F6561117CEEB98,EVO-SEED-006,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-778C7E253C6548E3047C,EVO-SEED-006,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-24886C711B76B4E01F69,EVO-SEED-006,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-8CFC74B466495571DE11,EVO-SEED-006,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-E1AD5EF1EE4F53E0ABD2,EVO-SEED-006,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-CEB35CBA8293CA652086,EVO-SEED-006,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-364D732402EFBB345F9B,EVO-SEED-006,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-142EEFF3F15571872203,EVO-SEED-006,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-0CAB90EBC62F5D7F5041,EVO-SEED-006,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-110E62C7CA3CD7777F58,EVO-SEED-006,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-274C8F7A70B288283522,EVO-SEED-006,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-2A274286BA6DDAD99465,EVO-SEED-006,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-560D52330F55A2836656,EVO-SEED-006,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-96FAC5553482BC69E7E1,EVO-SEED-006,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-A9C4B95643822CD90D80,EVO-SEED-006,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-23D45E95237D1B055CF8,EVO-SEED-006,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-DCF812F6C78102E75825,EVO-SEED-006,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-73A461D910A80772FFD8,EVO-SEED-006,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-B07F7204999C7BB18293,EVO-SEED-006,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-C82C08F8453B77D3D6E1,EVO-SEED-006,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-59CEAE8F402AA1CD7748,EVO-SEED-006,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-55E8C52A3B896382975F,EVO-SEED-006,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-7D19EE3D01F248D9C981,EVO-SEED-006,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-535907FE9771742A2689,EVO-SEED-006,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-DFDF455867A952856B68,EVO-SEED-006,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-6A2FD8037C6890217D8B,EVO-SEED-006,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-6F8E2D6F4F88D76131E5,EVO-SEED-006,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-F61566C8651B75EA11FE,EVO-SEED-006,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-4D91823856DEA3D5A73C,EVO-SEED-006,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-513A153D17CF80FD0E98,EVO-SEED-006,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-4607A62CBC1AE259F8CE,EVO-SEED-006,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-8F69496C5A1A65AE159E,EVO-SEED-006,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-02698553A18E5C13B758,EVO-SEED-006,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-B73DB3893E8404B766C1,EVO-SEED-006,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-F512B0965C34E861E823,EVO-SEED-006,europe_pmc,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-B26174A7CBCE3CCC3ECE,EVO-SEED-006,europe_pmc,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-E50E102153A1953F897F,EVO-SEED-006,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-04C3CB28365166493FF4,EVO-SEED-006,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-B7035A4715560A0098BD,EVO-SEED-006,europe_pmc,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-A4D203F177E1DAA1BD1F,EVO-SEED-006,europe_pmc,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-DE34255BDBBC9CAAEC10,EVO-SEED-006,europe_pmc,ncbi_pubmed,title,exact_agreement
EVO-CMPMETA-886D0B3F1049AE86C4B4,EVO-SEED-006,europe_pmc,ncbi_pubmed,title,exact_agreement
EVO-CMPMETA-328ED1D30996F3947BC6,EVO-SEED-007,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-67AA118E0BD0BAFAB54F,EVO-SEED-007,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-232F89C6D4FAC6159877,EVO-SEED-007,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-E4D85260A8DD9CC1E588,EVO-SEED-007,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-FE8029301C1471014363,EVO-SEED-007,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-7AAD3BD52B0808C0F866,EVO-SEED-007,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-DC35809040FE2B0E3657,EVO-SEED-007,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-437A62FACA27103C7803,EVO-SEED-007,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-D727AEC524903FFC5DEC,EVO-SEED-007,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-7EE393026FA84CFA3216,EVO-SEED-007,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-7E275653F8BD53B17714,EVO-SEED-007,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-50010C33ED1FF22C62E7,EVO-SEED-007,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-DB7EC7D126DC531EA1BD,EVO-SEED-007,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-FC395E268A8664C29DBA,EVO-SEED-007,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-EFCC80881C5147E33EB7,EVO-SEED-007,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-410016EBA0E600C16E76,EVO-SEED-007,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-049E3BB030E5AE6E6C0C,EVO-SEED-007,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-0B5D8D3F256C9607A7E1,EVO-SEED-007,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-5A2BEA1A2C2CFF20E3A4,EVO-SEED-007,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-FB1B66EC0FE49775017E,EVO-SEED-007,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-8F5305EFC5A0F425F95B,EVO-SEED-007,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-B01C558E671DFAE9BAC9,EVO-SEED-007,crossref,ncbi_pubmed,article_type,material_conflict
EVO-CMPMETA-2EA50485C2E6D2F62E33,EVO-SEED-007,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-8F1D27C26E30ECA38745,EVO-SEED-007,crossref,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-42484F585148C221F5B1,EVO-SEED-007,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-5759F954A39C833F39B6,EVO-SEED-007,crossref,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-618CEF88EBE1D527A004,EVO-SEED-007,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-C1B045230FB0DA13EFA8,EVO-SEED-007,crossref,ncbi_pubmed,journal,formatting_only_difference
EVO-CMPMETA-E352E85F25B0C31F802D,EVO-SEED-007,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-B58524B1327AE019E7E4,EVO-SEED-007,crossref,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-A6850EA96FC44AB77741,EVO-SEED-007,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-CB560DEEB9EFBDA60161,EVO-SEED-007,crossref,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-03806070A3C95B5DFA96,EVO-SEED-007,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-6306A748F075EE6EE3D2,EVO-SEED-007,crossref,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-4448526D1D4E629C968B,EVO-SEED-007,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-A586244EF31D610049E0,EVO-SEED-007,crossref,ncbi_pubmed,pmid,compatible_partial_metadata
EVO-CMPMETA-0DC41406663024565C59,EVO-SEED-007,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-B915A7F7EFE573359EA9,EVO-SEED-007,crossref,ncbi_pubmed,publication_year,exact_agreement
EVO-CMPMETA-76709F119613F3FFB464,EVO-SEED-007,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-6D76BE29D50214006A03,EVO-SEED-007,crossref,ncbi_pubmed,title,formatting_only_difference
EVO-CMPMETA-EF4CCDD5293BCD0AC937,EVO-SEED-007,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-40D890E11689AD822D24,EVO-SEED-007,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-E865BB184A1B45E4E013,EVO-SEED-007,europe_pmc,ncbi_pubmed,article_type,compatible_partial_metadata
EVO-CMPMETA-8910859E412654E5045B,EVO-SEED-007,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-A1482D5045FF83DC13E8,EVO-SEED-007,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-76DE1DE9E6EE9C1A3C22,EVO-SEED-007,europe_pmc,ncbi_pubmed,authors,material_conflict
EVO-CMPMETA-3D0064687E1F0DFD98E2,EVO-SEED-007,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-8E62BE8129EEF35FEC7C,EVO-SEED-007,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-105481FEAF5BE4548E86,EVO-SEED-007,europe_pmc,ncbi_pubmed,doi,exact_agreement
EVO-CMPMETA-EE7133C20AB9B7929377,EVO-SEED-007,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-5B04BBB22D7694D100CD,EVO-SEED-007,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-D4DAAE68731F5EF9B75C,EVO-SEED-007,europe_pmc,ncbi_pubmed,journal,material_conflict
EVO-CMPMETA-FD321DAB596120A77CF3,EVO-SEED-007,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-8B3245A8CF61493F4B32,EVO-SEED-007,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-0F52E7581DBBB1E6D212,EVO-SEED-007,europe_pmc,ncbi_pubmed,licence,compatible_partial_metadata
EVO-CMPMETA-46A2673F8C2E709C2F0E,EVO-SEED-007,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-1B8F71821EEC1A1D8772,EVO-SEED-007,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-33D336040D8141E6754D,EVO-SEED-007,europe_pmc,ncbi_pubmed,open_access,compatible_partial_metadata
EVO-CMPMETA-AE7567B8CC346D775990,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-4AD102508C0AEFF9C27B,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-AB5FBF569B46F62F4DDC,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmcid,compatible_partial_metadata
EVO-CMPMETA-2436885A879160D9AEE6,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-E9E9AD43833904842F48,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmid,exact_agreement
EVO-CMPMETA-27FB84EE2722FFFDED50,EVO-SEED-007,europe_pmc,ncbi_pubmed,pmid,exact_agreement
