observation_id,source_doi,source_table,compound,antibiotic_partner,fixed_inhibitor_concentration,fixed_inhibitor_concentration_unit,enzyme_family,enzyme_variant,reference_variant,author_reported_mutation,numbering_scheme,assay_category,assay_system,protein_preparation,endpoint,relation,value,unit,fitted_value
EVO-OBS-P1-030,10.1128/aac.00991-23,Table 2,taniborbactam,,,,SPM,SPM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.4,uM,
EVO-OBS-P1-031,10.1128/aac.00991-23,Table 2,taniborbactam,,,,DIM,DIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.3,uM,
EVO-OBS-P1-032,10.1128/aac.00991-23,Table 2,taniborbactam,,,,GIM,GIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.9,uM,
EVO-OBS-P1-033,10.1128/aac.00991-23,Table 2,taniborbactam,,,,PFM,PFM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P1-034,10.1128/aac.00991-23,Table 2,taniborbactam,,,,AIM,AIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P2-007,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.3,uM,
EVO-OBS-P2-008,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.0,uM,
EVO-OBS-P2-009,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.5,uM,
EVO-OBS-P2-010,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.0,uM,
EVO-OBS-P2-011,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.0,uM,
EVO-OBS-P2-012,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.7,uM,
EVO-OBS-P2-013,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.2,uM,
EVO-OBS-P2-014,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.2,uM,
EVO-OBS-P2-015,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-7,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.3,uM,
EVO-OBS-P2-016,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-7,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.2,uM,
EVO-OBS-P2-017,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-14,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.4,uM,
EVO-OBS-P2-018,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-14,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.9,uM,
EVO-OBS-P2-019,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.4,uM,
EVO-OBS-P2-020,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.0,uM,
EVO-OBS-P2-021,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-30,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.6,uM,
EVO-OBS-P2-022,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-30,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,34,uM,
EVO-OBS-P2-023,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-35,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.6,uM,
EVO-OBS-P2-024,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-35,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,8.6,uM,
EVO-OBS-P2-025,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-47,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,9.2,uM,
EVO-OBS-P2-026,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-47,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.8,uM,
EVO-OBS-P2-027,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,
EVO-OBS-P2-028,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.8,uM,
EVO-OBS-P2-029,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.05,uM,
EVO-OBS-P2-030,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,
EVO-OBS-P2-031,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.9,uM,
EVO-OBS-P2-032,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.4,uM,
EVO-OBS-P2-033,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,
EVO-OBS-P2-034,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.4,uM,
EVO-OBS-P2-035,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-83,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.2,uM,
EVO-OBS-P2-036,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-83,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,55,uM,
EVO-OBS-P2-037,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.1,uM,
EVO-OBS-P2-038,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,
EVO-OBS-P2-039,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-6,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.01,uM,
EVO-OBS-P2-040,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-6,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.5,uM,
EVO-OBS-P2-041,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,VIM,VIM-53,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,0.14,uM,
EVO-OBS-P2-042,10.1128/aac.01570-23,Table 3,taniborbactam,,,,VIM,VIM-53,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.4,uM,
EVO-OBS-P2-043,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-044,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,14.7,uM,
EVO-OBS-P2-045,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-046,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.6,uM,
EVO-OBS-P2-047,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-048,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-8,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,13.5,uM,
EVO-OBS-P2-049,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-8,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-050,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-10,IMP-1,Val67Phe,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-051,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-11,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,15.8,uM,
EVO-OBS-P2-052,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-11,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-053,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-13,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,15.0,uM,
EVO-OBS-P2-054,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-13,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-055,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-15,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,4.1,uM,
EVO-OBS-P2-056,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-15,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-057,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-18,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,20.7,uM,
EVO-OBS-P2-058,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-18,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-059,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.5,uM,
EVO-OBS-P2-060,10.1128/aac.01570-23,Table 3,taniborbactam,,,,IMP,IMP-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-061,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,SIM,SIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,93,uM,
EVO-OBS-P2-062,10.1128/aac.01570-23,Table 3,taniborbactam,,,,SIM,SIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-063,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,SPM,SPM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-064,10.1128/aac.01570-23,Table 3,taniborbactam,,,,SPM,SPM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.7,uM,
EVO-OBS-P2-065,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,DIM,DIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,11.4,uM,
EVO-OBS-P2-066,10.1128/aac.01570-23,Table 3,taniborbactam,,,,DIM,DIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,3.9,uM,
EVO-OBS-P2-067,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,GIM,GIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,7.9,uM,
EVO-OBS-P2-068,10.1128/aac.01570-23,Table 3,taniborbactam,,,,GIM,GIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,1.3,uM,
EVO-OBS-P2-069,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,PFM,PFM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-070,10.1128/aac.01570-23,Table 3,taniborbactam,,,,PFM,PFM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-071,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,AIM,AIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
EVO-OBS-P2-072,10.1128/aac.01570-23,Table 3,taniborbactam,,,,AIM,AIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,>,100,uM,
